Sector_Economic,año,consumo,fecha,findesemana,festivos,lectivos,COVID,tmed,prec,velmedia,poblacion,PIB,Rentanetamediaporpersona,Rentanetamediaporhogar,bono_social
Residencial,2019.0,6713701,2019-01-01,0,1,0,0,8.590909090909092,0.0,1.4176470588235297,5628011,62490,14656.0,38386.0,0
Residencial,2019.0,7354663,2019-01-02,0,0,0,0,6.617391304347826,0.3,2.152941176470588,5628011,62490,14656.0,38386.0,0
Residencial,2019.0,7619413,2019-01-03,0,0,0,0,5.604347826086957,0.1,1.6764705882352942,5628011,62490,14656.0,38386.0,0
Residencial,2019.0,7815514,2019-01-04,0,0,0,0,5.004347826086956,0.0,1.3352941176470587,5628011,63436,14656.0,38386.0,0
Residencial,2019.0,7527041,2019-01-05,1,0,0,0,6.173913043478261,0.0,2.247058823529412,5628011,62490,14656.0,38386.0,0
Residencial,2019.0,7308657,2019-01-06,1,0,0,0,9.130434782608695,0.1,2.6411764705882352,5628011,63436,14656.0,38386.0,0
Residencial,2019.0,7966091,2019-01-07,0,0,0,0,6.92608695652174,0.0,2.0352941176470587,5628011,63436,14656.0,38386.0,0
Residencial,2019.0,8187408,2019-01-08,0,0,1,0,4.945454545454545,0.0,2.2,5628011,63229,14656.0,38386.0,0
Residencial,2019.0,8007237,2019-01-09,0,0,1,0,6.791304347826086,0.0,2.1882352941176477,5628011,63229,14656.0,38386.0,0
Residencial,2019.0,8215942,2019-01-10,0,0,1,0,4.926086956521739,0.0,2.5176470588235293,5628011,63229,14656.0,38386.0,0
Residencial,2019.0,8586652,2019-01-11,0,0,1,0,2.260869565217391,0.0,1.8823529411764703,5628011,63229,14656.0,38386.0,0
Residencial,2019.0,8341448,2019-01-12,1,0,0,0,4.134782608695652,0.0,1.758823529411765,5628011,63229,14656.0,38386.0,0
Residencial,2019.0,8240301,2019-01-13,1,0,0,0,5.9,0.0,2.011764705882353,5628011,62490,14656.0,38386.0,0
Residencial,2019.0,8090100,2019-01-14,0,0,1,0,8.430434782608696,0.2,2.158823529411765,5628011,63436,14656.0,38386.0,0
Residencial,2019.0,7930353,2019-01-15,0,0,1,0,7.28695652173913,0.3,1.6588235294117646,5628011,62401,14656.0,38386.0,0
Residencial,2019.0,7917608,2019-01-16,0,0,1,0,6.726086956521739,0.1,1.8529411764705883,5628011,63436,14656.0,38386.0,0
