Sector_Economic,Valor,año,fecha,findesemana,festivos,lectivos,COVID,tmed,prec,velmedia,poblacion,PIB
Serveis,7338057,2019.0,2019-01-01,0,1,0,0,8.590909090909092,0.0,1.4176470588235297,5628011,42493
Serveis,10409953,2019.0,2019-01-02,0,0,0,0,6.617391304347826,0.3,2.152941176470588,5628011,42493
Serveis,10625634,2019.0,2019-01-03,0,0,0,0,5.604347826086957,0.1,1.6764705882352942,5628011,42493
Serveis,10570866,2019.0,2019-01-04,0,0,0,0,5.004347826086956,0.0,1.3352941176470587,5628011,42493
Serveis,8572617,2019.0,2019-01-05,1,0,0,0,6.173913043478261,0.0,2.247058823529412,5628011,42493
Serveis,7328816,2019.0,2019-01-06,1,0,0,0,9.130434782608695,0.1,2.6411764705882352,5628011,42493
Serveis,10731168,2019.0,2019-01-07,0,0,0,0,6.92608695652174,0.0,2.0352941176470587,5628011,43221
Serveis,11203465,2019.0,2019-01-08,0,0,1,0,4.945454545454545,0.0,2.2,5628011,43242
Serveis,11060810,2019.0,2019-01-09,0,0,1,0,6.791304347826086,0.0,2.1882352941176477,5628011,43242
Serveis,11243417,2019.0,2019-01-10,0,0,1,0,4.926086956521739,0.0,2.5176470588235293,5628011,43221
Serveis,11377346,2019.0,2019-01-11,0,0,1,0,2.260869565217391,0.0,1.8823529411764703,5628011,42493
Serveis,8953791,2019.0,2019-01-12,1,0,0,0,4.134782608695652,0.0,1.758823529411765,5628011,42747
Serveis,7970923,2019.0,2019-01-13,1,0,0,0,5.9,0.0,2.011764705882353,5628011,42493
Serveis,11137083,2019.0,2019-01-14,0,0,1,0,8.430434782608696,0.2,2.158823529411765,5628011,43242
Serveis,11146268,2019.0,2019-01-15,0,0,1,0,7.28695652173913,0.3,1.6588235294117646,5628011,43221
Serveis,11074194,2019.0,2019-01-16,0,0,1,0,6.726086956521739,0.1,1.8529411764705883,5628011,43242
Serveis,11074481,2019.0,2019-01-17,0,0,1,0,7.743478260869565,49.3,1.623529411764706,5628011,42493
Serveis,11156579,2019.0,2019-01-18,0,0,1,0,4.566666666666666,0.2,1.7999999999999998,5628011,43242
Serveis,8787131,2019.0,2019-01-19,1,0,0,0,5.1875,122.2,1.2555555555555555,5628011,42747
Serveis,7728752,2019.0,2019-01-20,1,0,0,0,5.079166666666667,124.2,1.8444444444444448,5628011,42747
Serveis,11278465,2019.0,2019-01-21,0,0,1,0,5.029166666666667,0.0,1.4055555555555557,5628011,42493
Serveis,11614650,2019.0,2019-01-22,0,0,1,0,3.025,0.0,1.8555555555555556,5628011,42747
Serveis,11507718,2019.0,2019-01-23,0,0,1,0,4.3625,29.6,2.4722222222222223,5628011,43221
Serveis,11498215,2019.0,2019-01-24,0,0,1,0,5.216666666666667,0.0,4.311111111111111,5628011,42747
Serveis,11183847,2019.0,2019-01-25,0,0,1,0,7.4375,0.0,1.911111111111111,5628011,42747
Serveis,8726684,2019.0,2019-01-26,1,0,0,0,8.4,0.2,2.0277777777777777,5628011,42493
Serveis,7622444,2019.0,2019-01-27,1,0,0,0,7.675,0.2,3.0444444444444443,5628011,43242
Serveis,11220202,2019.0,2019-01-28,0,0,1,0,6.204166666666667,2.6,2.85,5628011,43221
Serveis,11386935,2019.0,2019-01-29,0,0,1,0,3.875,1.1,1.805555555555556,5628011,43242
Serveis,11328427,2019.0,2019-01-30,0,0,1,0,6.525,0.0,3.5166666666666666,5628011,42747
Serveis,11040544,2019.0,2019-01-31,0,0,1,0,8.533333333333333,12.3,2.322222222222222,5628011,42747
Serveis,10724612,2019.0,2019-02-01,0,0,1,0,9.25,50.4,3.272222222222222,5628011,42493
Serveis,8719536,2019.0,2019-02-02,1,0,0,0,6.3375,14.5,2.6222222222222222,5628011,43221
Serveis,7664497,2019.0,2019-02-03,1,0,0,0,5.454166666666667,0.0,2.977777777777778,5628011,42747
Serveis,11234233,2019.0,2019-02-04,0,0,1,0,5.025,0.0,1.7529411764705882,5628011,43221
Serveis,11077232,2019.0,2019-02-05,0,0,1,0,8.829166666666667,0.0,1.438888888888889,5628011,43242
Serveis,10906903,2019.0,2019-02-06,0,0,1,0,9.766666666666667,0.2,1.3944444444444446,5628011,42493
Serveis,10911568,2019.0,2019-02-07,0,0,1,0,8.875,0.0,1.4944444444444445,5628011,43221
Serveis,10722944,2019.0,2019-02-08,0,0,1,0,9.183333333333334,0.2,2.2333333333333334,5628011,42493
Serveis,8507771,2019.0,2019-02-09,1,0,0,0,9.975,0.0,1.261111111111111,5628011,43221
Serveis,7391009,2019.0,2019-02-10,1,0,0,0,10.366666666666667,0.1,3.3722222222222222,5628011,42747
Serveis,10661872,2019.0,2019-02-11,0,0,1,0,9.008333333333333,0.0,1.75,5628011,42493
Serveis,10786412,2019.0,2019-02-12,0,0,1,0,8.108333333333333,0.1,2.0166666666666666,5628011,43221
Serveis,10858503,2019.0,2019-02-13,0,0,1,0,7.825,0.2,1.822222222222222,5628011,43242
Serveis,10905158,2019.0,2019-02-14,0,0,1,0,8.104166666666666,0.0,2.1166666666666667,5628011,42493
Serveis,10756751,2019.0,2019-02-15,0,0,1,0,8.429166666666667,0.0,1.6833333333333331,5628011,42493
Serveis,8553883,2019.0,2019-02-16,1,0,0,0,9.465217391304348,0.0,1.5166666666666666,5628011,43242
Serveis,7456071,2019.0,2019-02-17,1,0,0,0,8.208695652173912,0.2,1.822222222222222,5628011,43242
Serveis,10732567,2019.0,2019-02-18,0,0,1,0,8.386956521739132,0.1,1.6944444444444444,5628011,43242
Serveis,10793103,2019.0,2019-02-19,0,0,1,0,8.626086956521739,0.0,1.6388888888888888,5628011,42493
Serveis,10725804,2019.0,2019-02-20,0,0,1,0,8.543478260869565,0.0,1.2166666666666666,5628011,43221
Serveis,10480824,2019.0,2019-02-21,0,0,1,0,8.991304347826087,0.0,1.5777777777777775,5628011,43242
Serveis,10483649,2019.0,2019-02-22,0,0,1,0,11.795652173913044,0.0,1.9823529411764709,5628011,42747
Serveis,8345786,2019.0,2019-02-23,1,0,0,0,12.413636363636364,0.0,1.6944444444444444,5628011,43221
Serveis,7382703,2019.0,2019-02-24,1,0,0,0,10.209090909090907,0.0,1.75,5628011,43242
Serveis,10485631,2019.0,2019-02-25,0,0,1,0,10.395652173913044,0.0,1.6833333333333331,5628011,42747
Serveis,10486550,2019.0,2019-02-26,0,0,1,0,12.421739130434782,0.0,1.6777777777777778,5628011,43221
Serveis,10442795,2019.0,2019-02-27,0,0,1,0,13.513636363636364,0.0,1.6777777777777778,5628011,43242
Serveis,10307072,2019.0,2019-02-28,0,0,1,0,12.945,0.0,1.4722222222222223,5628011,43242
Serveis,10098110,2019.0,2019-03-01,0,0,1,0,10.578260869565218,0.2,1.6,5628011,42493
Serveis,8140759,2019.0,2019-03-02,1,0,0,0,11.360869565217392,0.0,1.6055555555555554,5628011,42493
Serveis,7142527,2019.0,2019-03-03,1,0,0,0,12.243478260869566,0.0,2.2666666666666666,5628011,43242
Serveis,9941188,2019.0,2019-03-04,0,0,1,0,13.469565217391304,0.0,3.7277777777777774,5628011,43242
Serveis,10171816,2019.0,2019-03-05,0,0,1,0,11.42608695652174,0.8,2.0444444444444443,5628011,42747
Serveis,10202241,2019.0,2019-03-06,0,0,1,0,9.87391304347826,49.3,2.1333333333333333,5628011,42747
Serveis,10205884,2019.0,2019-03-07,0,0,1,0,10.172727272727274,0.4,2.522222222222222,5628011,43221
Serveis,9849170,2019.0,2019-03-08,0,0,1,0,9.642857142857142,0.0,1.6111111111111112,5628011,42493
Serveis,8145987,2019.0,2019-03-09,1,0,0,0,10.872727272727271,0.0,1.822222222222222,5628011,42747
Serveis,7166254,2019.0,2019-03-10,1,0,0,0,13.617391304347825,0.0,2.25,5628011,43242
Serveis,10042510,2019.0,2019-03-11,0,0,1,0,12.38695652173913,0.2,2.5444444444444443,5628011,42493
Serveis,10177522,2019.0,2019-03-12,0,0,1,0,11.456521739130435,0.0,2.6444444444444444,5628011,43221
Serveis,10304064,2019.0,2019-03-13,0,0,1,0,10.208695652173914,12.9,2.85,5628011,43242
Serveis,10299481,2019.0,2019-03-14,0,0,1,0,9.326086956521738,0.1,2.6333333333333333,5628011,43242
Serveis,10117278,2019.0,2019-03-15,0,0,1,0,12.11304347826087,0.0,1.9388888888888889,5628011,43221
Serveis,8214624,2019.0,2019-03-16,1,0,0,0,13.247826086956522,0.0,2.2444444444444445,5628011,42747
Serveis,7189026,2019.0,2019-03-17,1,0,0,0,13.20909090909091,1.9,2.583333333333333,5628011,43221
Serveis,10109088,2019.0,2019-03-18,0,0,1,0,10.08695652173913,0.0,1.9166666666666667,5628011,42493
Serveis,10181461,2019.0,2019-03-19,0,0,1,0,9.154545454545454,4.6,1.877777777777777,5628011,43221
Serveis,10317489,2019.0,2019-03-20,0,0,1,0,8.743478260869566,0.0,2.061111111111112,5628011,42747
Serveis,10357341,2019.0,2019-03-21,0,0,1,0,9.343478260869563,0.0,2.338888888888889,5628011,42747
Serveis,10206884,2019.0,2019-03-22,0,0,1,0,12.347826086956522,0.0,2.322222222222222,5628011,43221
Serveis,8296666,2019.0,2019-03-23,1,0,0,0,13.913636363636364,0.0,1.822222222222222,5628011,43242
Serveis,7275999,2019.0,2019-03-24,1,0,0,0,14.77391304347826,0.0,1.65,5628011,42747
Serveis,10030724,2019.0,2019-03-25,0,0,1,0,13.713043478260868,0.0,2.594444444444445,5628011,42493
Serveis,10155005,2019.0,2019-03-26,0,0,1,0,12.117391304347825,0.0,2.8722222222222222,5628011,42493
Serveis,10078507,2019.0,2019-03-27,0,0,1,0,10.230434782608697,0.0,2.041176470588236,5628011,42493
