consumo,fecha,findesemana,festivos,pernoctaciones,tmed,poblacion,t-1
10409953,1546387200,0,0,531000,6.617391304347826,5628011,7338057.0
10625634,1546473600,0,0,531000,5.604347826086957,5628011,10409953.0
10570866,1546560000,0,0,531000,5.004347826086956,5628011,10625634.0
8572617,1546646400,1,0,531000,6.173913043478261,5628011,10570866.0
7328816,1546732800,1,0,531000,9.130434782608695,5628011,8572617.0
10731168,1546819200,0,0,531000,6.92608695652174,5628011,7328816.0
11203465,1546905600,0,0,531000,4.945454545454545,5628011,10731168.0
11060810,1546992000,0,0,531000,6.791304347826086,5628011,11203465.0
11243417,1547078400,0,0,531000,4.926086956521739,5628011,11060810.0
11377346,1547164800,0,0,531000,2.260869565217391,5628011,11243417.0
8953791,1547251200,1,0,531000,4.134782608695652,5628011,11377346.0
7970923,1547337600,1,0,531000,5.9,5628011,8953791.0
11137083,1547424000,0,0,531000,8.430434782608696,5628011,7970923.0
11146268,1547510400,0,0,531000,7.28695652173913,5628011,11137083.0
11074194,1547596800,0,0,531000,6.726086956521739,5628011,11146268.0
11074481,1547683200,0,0,531000,7.743478260869565,5628011,11074194.0
11156579,1547769600,0,0,531000,4.566666666666666,5628011,11074481.0
8787131,1547856000,1,0,531000,5.1875,5628011,11156579.0
7728752,1547942400,1,0,531000,5.079166666666667,5628011,8787131.0
11278465,1548028800,0,0,531000,5.029166666666667,5628011,7728752.0
11614650,1548115200,0,0,531000,3.025,5628011,11278465.0
11507718,1548201600,0,0,531000,4.3625,5628011,11614650.0
11498215,1548288000,0,0,531000,5.216666666666667,5628011,11507718.0
11183847,1548374400,0,0,531000,7.4375,5628011,11498215.0
8726684,1548460800,1,0,531000,8.4,5628011,11183847.0
7622444,1548547200,1,0,531000,7.675,5628011,8726684.0
11220202,1548633600,0,0,531000,6.204166666666667,5628011,7622444.0
11386935,1548720000,0,0,531000,3.875,5628011,11220202.0
11328427,1548806400,0,0,531000,6.525,5628011,11386935.0
11040544,1548892800,0,0,531000,8.533333333333333,5628011,11328427.0
10724612,1548979200,0,0,634000,9.25,5628011,11040544.0
8719536,1549065600,1,0,634000,6.3375,5628011,10724612.0
7664497,1549152000,1,0,634000,5.454166666666667,5628011,8719536.0
11234233,1549238400,0,0,634000,5.025,5628011,7664497.0
11077232,1549324800,0,0,634000,8.829166666666667,5628011,11234233.0
10906903,1549411200,0,0,634000,9.766666666666667,5628011,11077232.0
10911568,1549497600,0,0,634000,8.875,5628011,10906903.0
10722944,1549584000,0,0,634000,9.183333333333334,5628011,10911568.0
8507771,1549670400,1,0,634000,9.975,5628011,10722944.0
7391009,1549756800,1,0,634000,10.366666666666667,5628011,8507771.0
10661872,1549843200,0,0,634000,9.008333333333333,5628011,7391009.0
10786412,1549929600,0,0,634000,8.108333333333333,5628011,10661872.0
10858503,1550016000,0,0,634000,7.825,5628011,10786412.0
10905158,1550102400,0,0,634000,8.104166666666666,5628011,10858503.0
10756751,1550188800,0,0,634000,8.429166666666667,5628011,10905158.0
8553883,1550275200,1,0,634000,9.465217391304348,5628011,10756751.0
7456071,1550361600,1,0,634000,8.208695652173912,5628011,8553883.0
10732567,1550448000,0,0,634000,8.386956521739132,5628011,7456071.0
10793103,1550534400,0,0,634000,8.626086956521739,5628011,10732567.0
10725804,1550620800,0,0,634000,8.543478260869565,5628011,10793103.0
10480824,1550707200,0,0,634000,8.991304347826087,5628011,10725804.0
10483649,1550793600,0,0,634000,11.795652173913044,5628011,10480824.0
8345786,1550880000,1,0,634000,12.413636363636364,5628011,10483649.0
7382703,1550966400,1,0,634000,10.209090909090907,5628011,8345786.0
10485631,1551052800,0,0,634000,10.395652173913044,5628011,7382703.0
10486550,1551139200,0,0,634000,12.421739130434782,5628011,10485631.0
10442795,1551225600,0,0,634000,13.513636363636364,5628011,10486550.0
10307072,1551312000,0,0,634000,12.945,5628011,10442795.0
10098110,1551398400,0,0,784000,10.578260869565218,5628011,10307072.0
8140759,1551484800,1,0,784000,11.360869565217392,5628011,10098110.0
7142527,1551571200,1,0,784000,12.243478260869566,5628011,8140759.0
9941188,1551657600,0,0,784000,13.469565217391304,5628011,7142527.0
10171816,1551744000,0,0,784000,11.42608695652174,5628011,9941188.0
10202241,1551830400,0,0,784000,9.87391304347826,5628011,10171816.0
10205884,1551916800,0,0,784000,10.172727272727274,5628011,10202241.0
9849170,1552003200,0,0,784000,9.642857142857142,5628011,10205884.0
8145987,1552089600,1,0,784000,10.872727272727271,5628011,9849170.0
7166254,1552176000,1,0,784000,13.617391304347825,5628011,8145987.0
10042510,1552262400,0,0,784000,12.38695652173913,5628011,7166254.0
10177522,1552348800,0,0,784000,11.456521739130435,5628011,10042510.0
10304064,1552435200,0,0,784000,10.208695652173914,5628011,10177522.0
10299481,1552521600,0,0,784000,9.326086956521738,5628011,10304064.0
10117278,1552608000,0,0,784000,12.11304347826087,5628011,10299481.0
8214624,1552694400,1,0,784000,13.247826086956522,5628011,10117278.0
7189026,1552780800,1,0,784000,13.20909090909091,5628011,8214624.0
10109088,1552867200,0,0,784000,10.08695652173913,5628011,7189026.0
10181461,1552953600,0,0,784000,9.154545454545454,5628011,10109088.0
10317489,1553040000,0,0,784000,8.743478260869566,5628011,10181461.0
10357341,1553126400,0,0,784000,9.343478260869563,5628011,10317489.0
10206884,1553212800,0,0,784000,12.347826086956522,5628011,10357341.0
8296666,1553299200,1,0,784000,13.913636363636364,5628011,10206884.0
7275999,1553385600,1,0,784000,14.77391304347826,5628011,8296666.0
10030724,1553472000,0,0,784000,13.713043478260868,5628011,7275999.0
10155005,1553558400,0,0,784000,12.117391304347825,5628011,10030724.0
10078507,1553644800,0,0,784000,10.230434782608697,5628011,10155005.0
10237025,1553731200,0,0,784000,10.456521739130435,5628011,10078507.0
10104844,1553817600,0,0,784000,10.113043478260868,5628011,10237025.0
8230872,1553904000,1,0,784000,9.347826086956522,5628011,10104844.0
6900161,1553990400,1,0,784000,10.386956521739132,5628011,8230872.0
9948178,1554076800,0,0,996000,13.082608695652173,5628011,6900161.0
10164301,1554163200,0,0,996000,12.48695652173913,5628011,9948178.0
10199861,1554249600,0,0,996000,10.008695652173914,5628011,10164301.0
10417204,1554336000,0,0,996000,7.643478260869566,5628011,10199861.0
10343171,1554422400,0,0,996000,8.231818181818182,5628011,10417204.0
8422357,1554508800,1,0,996000,9.513636363636364,5628011,10343171.0
7398227,1554595200,1,0,996000,9.439130434782609,5628011,8422357.0
10046670,1554681600,0,0,996000,11.234782608695651,5628011,7398227.0
10322430,1554768000,0,0,996000,10.565217391304348,5628011,10046670.0
10317368,1554854400,0,0,996000,10.804347826086955,5628011,10322430.0
10349200,1554940800,0,0,996000,11.982608695652177,5628011,10317368.0
