consumo,fecha,findesemana,tmed,PIB,t-1
7354663,1546387200,0,6.617391304347826,62490,6713701.0
7619413,1546473600,0,5.604347826086957,62490,7354663.0
7815514,1546560000,0,5.004347826086956,63436,7619413.0
7527041,1546646400,1,6.173913043478261,62490,7815514.0
7308657,1546732800,1,9.130434782608695,63436,7527041.0
7966091,1546819200,0,6.92608695652174,63436,7308657.0
8187408,1546905600,0,4.945454545454545,63229,7966091.0
8007237,1546992000,0,6.791304347826086,63229,8187408.0
8215942,1547078400,0,4.926086956521739,63229,8007237.0
8586652,1547164800,0,2.260869565217391,63229,8215942.0
8341448,1547251200,1,4.134782608695652,63229,8586652.0
8240301,1547337600,1,5.9,62490,8341448.0
8090100,1547424000,0,8.430434782608696,63436,8240301.0
7930353,1547510400,0,7.28695652173913,62401,8090100.0
7917608,1547596800,0,6.726086956521739,63436,7930353.0
7754578,1547683200,0,7.743478260869565,63229,7917608.0
8186573,1547769600,0,4.566666666666666,62401,7754578.0
7869976,1547856000,1,5.1875,63229,8186573.0
8398553,1547942400,1,5.079166666666667,62401,7869976.0
8396547,1548028800,0,5.029166666666667,63436,8398553.0
8740506,1548115200,0,3.025,62490,8396547.0
8709077,1548201600,0,4.3625,63229,8740506.0
8659613,1548288000,0,5.216666666666667,62401,8709077.0
8375922,1548374400,0,7.4375,63229,8659613.0
7746558,1548460800,1,8.4,63436,8375922.0
7704373,1548547200,1,7.675,62490,7746558.0
8290133,1548633600,0,6.204166666666667,63436,7704373.0
8577586,1548720000,0,3.875,62490,8290133.0
8365088,1548806400,0,6.525,62401,8577586.0
7629397,1548892800,0,8.533333333333333,63436,8365088.0
7399333,1548979200,0,9.25,63229,7629397.0
7526483,1549065600,1,6.3375,62490,7399333.0
7731556,1549152000,1,5.454166666666667,62490,7526483.0
8217313,1549238400,0,5.025,63436,7731556.0
7769511,1549324800,0,8.829166666666667,63229,8217313.0
7444718,1549411200,0,9.766666666666667,62490,7769511.0
7398441,1549497600,0,8.875,62401,7444718.0
7195752,1549584000,0,9.183333333333334,63229,7398441.0
6778040,1549670400,1,9.975,62401,7195752.0
6754883,1549756800,1,10.366666666666667,62490,6778040.0
7124180,1549843200,0,9.008333333333333,62490,6754883.0
7188239,1549929600,0,8.108333333333333,63229,7124180.0
7285539,1550016000,0,7.825,63229,7188239.0
7324118,1550102400,0,8.104166666666666,62401,7285539.0
7263376,1550188800,0,8.429166666666667,63436,7324118.0
6944929,1550275200,1,9.465217391304348,63436,7263376.0
7007874,1550361600,1,8.208695652173912,62401,6944929.0
7392994,1550448000,0,8.386956521739132,63229,7007874.0
7341264,1550534400,0,8.626086956521739,62401,7392994.0
7260365,1550620800,0,8.543478260869565,63436,7341264.0
7296342,1550707200,0,8.991304347826087,62401,7260365.0
6740221,1550793600,0,11.795652173913044,62401,7296342.0
6226561,1550880000,1,12.413636363636364,62401,6740221.0
6327780,1550966400,1,10.209090909090907,63229,6226561.0
6846892,1551052800,0,10.395652173913044,63436,6327780.0
6749627,1551139200,0,12.421739130434782,62490,6846892.0
6655888,1551225600,0,13.513636363636364,63229,6749627.0
6259719,1551312000,0,12.945,63229,6655888.0
6279849,1551398400,0,10.578260869565218,62490,6259719.0
5869644,1551484800,1,11.360869565217392,62401,6279849.0
5774725,1551571200,1,12.243478260869566,62401,5869644.0
6263811,1551657600,0,13.469565217391304,63229,5774725.0
6380132,1551744000,0,11.42608695652174,62401,6263811.0
6531075,1551830400,0,9.87391304347826,62401,6380132.0
6360515,1551916800,0,10.172727272727274,62401,6531075.0
6317291,1552003200,0,9.642857142857142,63436,6360515.0
5941926,1552089600,1,10.872727272727271,63436,6317291.0
5837840,1552176000,1,13.617391304347825,62401,5941926.0
6322853,1552262400,0,12.38695652173913,62401,5837840.0
6400575,1552348800,0,11.456521739130435,63229,6322853.0
6662549,1552435200,0,10.208695652173914,63436,6400575.0
6526220,1552521600,0,9.326086956521738,62490,6662549.0
6285301,1552608000,0,12.11304347826087,63229,6526220.0
5853153,1552694400,1,13.247826086956522,62401,6285301.0
5897360,1552780800,1,13.20909090909091,62401,5853153.0
6476170,1552867200,0,10.08695652173913,63436,5897360.0
6584371,1552953600,0,9.154545454545454,62401,6476170.0
6601714,1553040000,0,8.743478260869566,62401,6584371.0
6591897,1553126400,0,9.343478260869563,63229,6601714.0
6346650,1553212800,0,12.347826086956522,63436,6591897.0
5844814,1553299200,1,13.913636363636364,62490,6346650.0
5709573,1553385600,1,14.77391304347826,62490,5844814.0
6043937,1553472000,0,13.713043478260868,62490,5709573.0
6072361,1553558400,0,12.117391304347825,63229,6043937.0
6125365,1553644800,0,10.230434782608697,62401,6072361.0
6155240,1553731200,0,10.456521739130435,62401,6125365.0
6079710,1553817600,0,10.113043478260868,63229,6155240.0
5845903,1553904000,1,9.347826086956522,62490,6079710.0
5504695,1553990400,1,10.386956521739132,63229,5845903.0
5965994,1554076800,0,13.082608695652173,63229,5504695.0
5944405,1554163200,0,12.48695652173913,63436,5965994.0
6071222,1554249600,0,10.008695652173914,63436,5944405.0
6132602,1554336000,0,7.643478260869566,63229,6071222.0
6243079,1554422400,0,8.231818181818182,62401,6132602.0
5928700,1554508800,1,9.513636363636364,63229,6243079.0
5999812,1554595200,1,9.439130434782609,62401,5928700.0
6162356,1554681600,0,11.234782608695651,63436,5999812.0
6299060,1554768000,0,10.565217391304348,63229,6162356.0
6270634,1554854400,0,10.804347826086955,63229,6299060.0
6117153,1554940800,0,11.982608695652177,62401,6270634.0
5901099,1555027200,0,12.956521739130435,63229,6117153.0
5461326,1555113600,1,12.617391304347825,62401,5901099.0
5336358,1555200000,1,12.22608695652174,63436,5461326.0
5786436,1555286400,0,11.052173913043475,63436,5336358.0
5741486,1555372800,0,12.039130434782608,63229,5786436.0
5666398,1555459200,0,12.369565217391305,63229,5741486.0
5425016,1555545600,0,13.41304347826087,63436,5666398.0
4875071,1555632000,0,15.386363636363637,63229,5425016.0
4934825,1555718400,1,13.095652173913043,62401,4875071.0
4906366,1555804800,1,13.054545454545456,62401,4934825.0
5685106,1555891200,0,13.634782608695652,62401,4906366.0
5818221,1555977600,0,14.721739130434784,63436,5685106.0
5915389,1556064000,0,12.634782608695652,63436,5818221.0
5929458,1556150400,0,12.204347826086956,63229,5915389.0
5804809,1556236800,0,12.872727272727271,63229,5929458.0
5503255,1556323200,1,13.117391304347825,63229,5804809.0
5643007,1556409600,1,12.382608695652175,63436,5503255.0
5921920,1556496000,0,13.808695652173911,63229,5643007.0
5541019,1556582400,0,15.004347826086958,63229,5921920.0
5306031,1556668800,0,15.130434782608695,62401,5541019.0
5487236,1556755200,0,14.691304347826089,63229,5306031.0
5834654,1556841600,0,9.57391304347826,63229,5487236.0
5300839,1556928000,1,11.98695652173913,63229,5834654.0
5216981,1557014400,1,12.308695652173911,62401,5300839.0
5665133,1557100800,0,11.060869565217391,63436,5216981.0
5748577,1557187200,0,12.26086956521739,63436,5665133.0
5637187,1557273600,0,17.213636363636365,62401,5748577.0
5545196,1557360000,0,15.6,62401,5637187.0
5460672,1557446400,0,17.756521739130438,62401,5545196.0
5192880,1557532800,1,15.956521739130435,62401,5460672.0
5131821,1557619200,1,15.247826086956522,62401,5192880.0
5532397,1557705600,0,14.173913043478262,62401,5131821.0
5525590,1557792000,0,14.978260869565217,62401,5532397.0
5533608,1557878400,0,14.295652173913044,63229,5525590.0
5553301,1557964800,0,13.58695652173913,63436,5533608.0
5683616,1558051200,0,11.847826086956522,63229,5553301.0
5356348,1558137600,1,13.052173913043475,63229,5683616.0
5437090,1558224000,1,11.873913043478264,63436,5356348.0
5638501,1558310400,0,13.513636363636364,63229,5437090.0
5592333,1558396800,0,14.934782608695652,62401,5638501.0
