Data,Sector_Economic,Valor,año
2019-01-01,Indústria,995989,2019
2019-01-02,Indústria,1702091,2019
2019-01-03,Indústria,1826076,2019
2019-01-04,Indústria,1806926,2019
2019-01-05,Indústria,1341548,2019
2019-01-06,Indústria,1201714,2019
2019-01-07,Indústria,1921881,2019
2019-01-08,Indústria,2048335,2019
2019-01-09,Indústria,2074642,2019
2019-01-10,Indústria,2104779,2019
2019-01-11,Indústria,2105565,2019
2019-01-12,Indústria,1524829,2019
2019-01-13,Indústria,1309722,2019
2019-01-14,Indústria,1990879,2019
2019-01-15,Indústria,2001561,2019
2019-01-16,Indústria,2082018,2019
2019-01-17,Indústria,2085319,2019
2019-01-18,Indústria,2076651,2019
2019-01-19,Indústria,1531857,2019
2019-01-20,Indústria,1330111,2019
2019-01-21,Indústria,2062403,2019
2019-01-22,Indústria,2161827,2019
2019-01-23,Indústria,2109277,2019
2019-01-24,Indústria,2111501,2019
2019-01-25,Indústria,2059243,2019
2019-01-26,Indústria,1429824,2019
2019-01-27,Indústria,1258248,2019
2019-01-28,Indústria,1983174,2019
2019-01-29,Indústria,2077924,2019
2019-01-30,Indústria,2086124,2019
2019-01-31,Indústria,2009211,2019
2019-02-01,Indústria,1932146,2019
2019-02-02,Indústria,1470254,2019
2019-02-03,Indústria,1358251,2019
2019-02-04,Indústria,2105011,2019
2019-02-05,Indústria,2108257,2019
2019-02-06,Indústria,2091470,2019
2019-02-07,Indústria,2061069,2019
2019-02-08,Indústria,2035308,2019
2019-02-09,Indústria,1523376,2019
2019-02-10,Indústria,1391507,2019
2019-02-11,Indústria,2050558,2019
2019-02-12,Indústria,2124128,2019
2019-02-13,Indústria,2112143,2019
2019-02-14,Indústria,2075308,2019
2019-02-15,Indústria,2024484,2019
2019-02-16,Indústria,1518710,2019
2019-02-17,Indústria,1354228,2019
2019-02-18,Indústria,2052098,2019
2019-02-19,Indústria,2101645,2019
2019-02-20,Indústria,2072231,2019
2019-02-21,Indústria,2043975,2019
2019-02-22,Indústria,1975354,2019
2019-02-23,Indústria,1480429,2019
2019-02-24,Indústria,1293773,2019
2019-02-25,Indústria,1931481,2019
2019-02-26,Indústria,1965529,2019
2019-02-27,Indústria,1967680,2019
2019-02-28,Indústria,1993447,2019
2019-03-01,Indústria,1834431,2019
2019-03-02,Indústria,1345708,2019
2019-03-03,Indústria,1186549,2019
2019-03-04,Indústria,1875930,2019
2019-03-05,Indústria,2079242,2019
2019-03-06,Indústria,2009699,2019
2019-03-07,Indústria,1947885,2019
2019-03-08,Indústria,1885019,2019
2019-03-09,Indústria,1392095,2019
2019-03-10,Indústria,1211073,2019
2019-03-11,Indústria,1875307,2019
2019-03-12,Indústria,1970981,2019
2019-03-13,Indústria,1917646,2019
2019-03-14,Indústria,1943165,2019
2019-03-15,Indústria,1880508,2019
2019-03-16,Indústria,1424896,2019
2019-03-17,Indústria,1235045,2019
2019-03-18,Indústria,1906693,2019
2019-03-19,Indústria,1950630,2019
2019-03-20,Indústria,1909376,2019
2019-03-21,Indústria,1999239,2019
2019-03-22,Indústria,1923922,2019
2019-03-23,Indústria,1476619,2019
2019-03-24,Indústria,1289998,2019
2019-03-25,Indústria,1823538,2019
2019-03-26,Indústria,1994701,2019
2019-03-27,Indústria,2032858,2019
2019-03-28,Indústria,2027351,2019
2019-03-29,Indústria,1993465,2019
2019-03-30,Indústria,1513736,2019
2019-03-31,Indústria,1331963,2019
2019-04-01,Indústria,2090346,2019
2019-04-02,Indústria,2177580,2019
2019-04-03,Indústria,2134533,2019
2019-04-04,Indústria,2132844,2019
2019-04-05,Indústria,2104893,2019
2019-04-06,Indústria,1527475,2019
2019-04-07,Indústria,1346879,2019
2019-04-08,Indústria,2035085,2019
2019-04-09,Indústria,2015133,2019
2019-04-10,Indústria,2059902,2019
2019-04-11,Indústria,2022541,2019
2019-04-12,Indústria,1950138,2019
2019-04-13,Indústria,1372045,2019
2019-04-14,Indústria,1179751,2019
