pernoctaciones,fecha
1043000,2019-10-28
1043000,2019-10-29
1043000,2019-10-30
1043000,2019-10-31
661000,2019-11-01
661000,2019-11-02
661000,2019-11-03
661000,2019-11-04
661000,2019-11-05
661000,2019-11-06
661000,2019-11-07
661000,2019-11-08
661000,2019-11-09
661000,2019-11-10
661000,2019-11-11
661000,2019-11-12
661000,2019-11-13
661000,2019-11-14
661000,2019-11-15
661000,2019-11-16
661000,2019-11-17
661000,2019-11-18
661000,2019-11-19
661000,2019-11-20
661000,2019-11-21
661000,2019-11-22
661000,2019-11-23
661000,2019-11-24
661000,2019-11-25
661000,2019-11-26
661000,2019-11-27
661000,2019-11-28
661000,2019-11-29
661000,2019-11-30
648000,2019-12-01
648000,2019-12-02
648000,2019-12-03
648000,2019-12-04
648000,2019-12-05
648000,2019-12-06
648000,2019-12-07
648000,2019-12-08
648000,2019-12-09
648000,2019-12-10
648000,2019-12-11
648000,2019-12-12
648000,2019-12-13
648000,2019-12-14
648000,2019-12-15
648000,2019-12-16
648000,2019-12-17
648000,2019-12-18
648000,2019-12-19
648000,2019-12-20
648000,2019-12-21
648000,2019-12-22
648000,2019-12-23
648000,2019-12-24
648000,2019-12-25
648000,2019-12-26
648000,2019-12-27
648000,2019-12-28
648000,2019-12-29
648000,2019-12-30
648000,2019-12-31
596000,2020-01-01
596000,2020-01-02
596000,2020-01-03
596000,2020-01-04
596000,2020-01-05
596000,2020-01-06
596000,2020-01-07
596000,2020-01-08
596000,2020-01-09
596000,2020-01-10
596000,2020-01-11
596000,2020-01-12
596000,2020-01-13
596000,2020-01-14
596000,2020-01-15
596000,2020-01-16
596000,2020-01-17
596000,2020-01-18
596000,2020-01-19
596000,2020-01-20
596000,2020-01-21
596000,2020-01-22
596000,2020-01-23
596000,2020-01-24
596000,2020-01-25
596000,2020-01-26
596000,2020-01-27
596000,2020-01-28
596000,2020-01-29
596000,2020-01-30
596000,2020-01-31
639000,2020-02-01
639000,2020-02-02
639000,2020-02-03
639000,2020-02-04
639000,2020-02-05
639000,2020-02-06
639000,2020-02-07
639000,2020-02-08
639000,2020-02-09
639000,2020-02-10
639000,2020-02-11
639000,2020-02-12
639000,2020-02-13
639000,2020-02-14
639000,2020-02-15
639000,2020-02-16
639000,2020-02-17
639000,2020-02-18
639000,2020-02-19
639000,2020-02-20
639000,2020-02-21
639000,2020-02-22
639000,2020-02-23
639000,2020-02-24
639000,2020-02-25
639000,2020-02-26
639000,2020-02-27
639000,2020-02-28
639000,2020-02-29
333000,2020-03-01
333000,2020-03-02
333000,2020-03-03
333000,2020-03-04
333000,2020-03-05
333000,2020-03-06
333000,2020-03-07
333000,2020-03-08
333000,2020-03-09
333000,2020-03-10
333000,2020-03-11
333000,2020-03-12
333000,2020-03-13
333000,2020-03-14
333000,2020-03-15
333000,2020-03-16
333000,2020-03-17
333000,2020-03-18
333000,2020-03-19
333000,2020-03-20
333000,2020-03-21
333000,2020-03-22
333000,2020-03-23
333000,2020-03-24
333000,2020-03-25
333000,2020-03-26
333000,2020-03-27
333000,2020-03-28
333000,2020-03-29
333000,2020-03-30
333000,2020-03-31
51000,2020-04-01
51000,2020-04-02
51000,2020-04-03
51000,2020-04-04
51000,2020-04-05
51000,2020-04-06
51000,2020-04-07
51000,2020-04-08
51000,2020-04-09
51000,2020-04-10
51000,2020-04-11
51000,2020-04-12
51000,2020-04-13
51000,2020-04-14
51000,2020-04-15
51000,2020-04-16
51000,2020-04-17
51000,2020-04-18
51000,2020-04-19
51000,2020-04-20
51000,2020-04-21
51000,2020-04-22
51000,2020-04-23
51000,2020-04-24
51000,2020-04-25
51000,2020-04-26
51000,2020-04-27
51000,2020-04-28
51000,2020-04-29
51000,2020-04-30
55000,2020-05-01
55000,2020-05-02
55000,2020-05-03
55000,2020-05-04
55000,2020-05-05
55000,2020-05-06
55000,2020-05-07
55000,2020-05-08
55000,2020-05-09
55000,2020-05-10
55000,2020-05-11
55000,2020-05-12
55000,2020-05-13
55000,2020-05-14
55000,2020-05-15
55000,2020-05-16
55000,2020-05-17
55000,2020-05-18
55000,2020-05-19
55000,2020-05-20
55000,2020-05-21
55000,2020-05-22
55000,2020-05-23
55000,2020-05-24
55000,2020-05-25
55000,2020-05-26
55000,2020-05-27
55000,2020-05-28
55000,2020-05-29
55000,2020-05-30
55000,2020-05-31
83000,2020-06-01
83000,2020-06-02
83000,2020-06-03
83000,2020-06-04
83000,2020-06-05
83000,2020-06-06
83000,2020-06-07
83000,2020-06-08
83000,2020-06-09
83000,2020-06-10
83000,2020-06-11
83000,2020-06-12
83000,2020-06-13
83000,2020-06-14
83000,2020-06-15
83000,2020-06-16
83000,2020-06-17
83000,2020-06-18
83000,2020-06-19
83000,2020-06-20
83000,2020-06-21
83000,2020-06-22
83000,2020-06-23
83000,2020-06-24
83000,2020-06-25
83000,2020-06-26
83000,2020-06-27
83000,2020-06-28
83000,2020-06-29
83000,2020-06-30
238000,2020-07-01
238000,2020-07-02
238000,2020-07-03
238000,2020-07-04
238000,2020-07-05
238000,2020-07-06
238000,2020-07-07
238000,2020-07-08
238000,2020-07-09
238000,2020-07-10
238000,2020-07-11
238000,2020-07-12
238000,2020-07-13
238000,2020-07-14
238000,2020-07-15
238000,2020-07-16
238000,2020-07-17
238000,2020-07-18
238000,2020-07-19
238000,2020-07-20
238000,2020-07-21
238000,2020-07-22
238000,2020-07-23
238000,2020-07-24
238000,2020-07-25
238000,2020-07-26
238000,2020-07-27
238000,2020-07-28
238000,2020-07-29
238000,2020-07-30
238000,2020-07-31
204000,2020-08-01
204000,2020-08-02
204000,2020-08-03
204000,2020-08-04
204000,2020-08-05
204000,2020-08-06
204000,2020-08-07
204000,2020-08-08
204000,2020-08-09
204000,2020-08-10
204000,2020-08-11
204000,2020-08-12
204000,2020-08-13
204000,2020-08-14
204000,2020-08-15
204000,2020-08-16
204000,2020-08-17
204000,2020-08-18
204000,2020-08-19
204000,2020-08-20
204000,2020-08-21
204000,2020-08-22
204000,2020-08-23
204000,2020-08-24
204000,2020-08-25
204000,2020-08-26
204000,2020-08-27
204000,2020-08-28
204000,2020-08-29
204000,2020-08-30
204000,2020-08-31
140000,2020-09-01
140000,2020-09-02
140000,2020-09-03
140000,2020-09-04
140000,2020-09-05
140000,2020-09-06
140000,2020-09-07
140000,2020-09-08
140000,2020-09-09
140000,2020-09-10
140000,2020-09-11
140000,2020-09-12
140000,2020-09-13
