Empleo,fecha
604200,2019-01-01
604200,2019-01-02
604200,2019-01-03
604200,2019-01-04
604200,2019-01-05
604200,2019-01-06
604200,2019-01-07
604200,2019-01-08
604200,2019-01-09
604200,2019-01-10
604200,2019-01-11
604200,2019-01-12
604200,2019-01-13
604200,2019-01-14
604200,2019-01-15
604200,2019-01-16
604200,2019-01-17
604200,2019-01-18
604200,2019-01-19
604200,2019-01-20
604200,2019-01-21
604200,2019-01-22
604200,2019-01-23
604200,2019-01-24
604200,2019-01-25
604200,2019-01-26
604200,2019-01-27
604200,2019-01-28
604200,2019-01-29
604200,2019-01-30
604200,2019-01-31
604200,2019-02-01
604200,2019-02-02
604200,2019-02-03
604200,2019-02-04
604200,2019-02-05
604200,2019-02-06
604200,2019-02-07
604200,2019-02-08
604200,2019-02-09
604200,2019-02-10
604200,2019-02-11
604200,2019-02-12
604200,2019-02-13
604200,2019-02-14
604200,2019-02-15
604200,2019-02-16
604200,2019-02-17
604200,2019-02-18
604200,2019-02-19
604200,2019-02-20
604200,2019-02-21
604200,2019-02-22
604200,2019-02-23
604200,2019-02-24
604200,2019-02-25
604200,2019-02-26
604200,2019-02-27
604200,2019-02-28
604200,2019-03-01
604200,2019-03-02
604200,2019-03-03
604200,2019-03-04
604200,2019-03-05
604200,2019-03-06
604200,2019-03-07
604200,2019-03-08
604200,2019-03-09
604200,2019-03-10
604200,2019-03-11
604200,2019-03-12
604200,2019-03-13
604200,2019-03-14
604200,2019-03-15
604200,2019-03-16
604200,2019-03-17
604200,2019-03-18
604200,2019-03-19
604200,2019-03-20
604200,2019-03-21
604200,2019-03-22
604200,2019-03-23
604200,2019-03-24
604200,2019-03-25
604200,2019-03-26
604200,2019-03-27
604200,2019-03-28
604200,2019-03-29
604200,2019-03-30
604200,2019-03-31
598000,2019-04-01
598000,2019-04-02
598000,2019-04-03
598000,2019-04-04
598000,2019-04-05
598000,2019-04-06
598000,2019-04-07
598000,2019-04-08
598000,2019-04-09
598000,2019-04-10
598000,2019-04-11
598000,2019-04-12
598000,2019-04-13
598000,2019-04-14
598000,2019-04-15
598000,2019-04-16
598000,2019-04-17
598000,2019-04-18
598000,2019-04-19
598000,2019-04-20
598000,2019-04-21
598000,2019-04-22
598000,2019-04-23
598000,2019-04-24
598000,2019-04-25
598000,2019-04-26
598000,2019-04-27
598000,2019-04-28
598000,2019-04-29
598000,2019-04-30
598000,2019-05-01
598000,2019-05-02
598000,2019-05-03
598000,2019-05-04
598000,2019-05-05
598000,2019-05-06
598000,2019-05-07
598000,2019-05-08
598000,2019-05-09
598000,2019-05-10
598000,2019-05-11
598000,2019-05-12
598000,2019-05-13
598000,2019-05-14
598000,2019-05-15
598000,2019-05-16
598000,2019-05-17
598000,2019-05-18
598000,2019-05-19
598000,2019-05-20
598000,2019-05-21
598000,2019-05-22
598000,2019-05-23
598000,2019-05-24
598000,2019-05-25
598000,2019-05-26
598000,2019-05-27
598000,2019-05-28
598000,2019-05-29
598000,2019-05-30
598000,2019-05-31
598000,2019-06-01
598000,2019-06-02
598000,2019-06-03
598000,2019-06-04
598000,2019-06-05
598000,2019-06-06
598000,2019-06-07
598000,2019-06-08
598000,2019-06-09
598000,2019-06-10
598000,2019-06-11
598000,2019-06-12
598000,2019-06-13
598000,2019-06-14
598000,2019-06-15
598000,2019-06-16
598000,2019-06-17
598000,2019-06-18
598000,2019-06-19
598000,2019-06-20
598000,2019-06-21
598000,2019-06-22
598000,2019-06-23
598000,2019-06-24
598000,2019-06-25
598000,2019-06-26
598000,2019-06-27
598000,2019-06-28
598000,2019-06-29
598000,2019-06-30
600300,2019-07-01
600300,2019-07-02
600300,2019-07-03
600300,2019-07-04
600300,2019-07-05
600300,2019-07-06
600300,2019-07-07
600300,2019-07-08
600300,2019-07-09
600300,2019-07-10
600300,2019-07-11
600300,2019-07-12
600300,2019-07-13
600300,2019-07-14
600300,2019-07-15
600300,2019-07-16
600300,2019-07-17
600300,2019-07-18
600300,2019-07-19
600300,2019-07-20
600300,2019-07-21
600300,2019-07-22
600300,2019-07-23
600300,2019-07-24
600300,2019-07-25
600300,2019-07-26
600300,2019-07-27
600300,2019-07-28
600300,2019-07-29
600300,2019-07-30
600300,2019-07-31
600300,2019-08-01
600300,2019-08-02
600300,2019-08-03
600300,2019-08-04
600300,2019-08-05
600300,2019-08-06
600300,2019-08-07
600300,2019-08-08
600300,2019-08-09
600300,2019-08-10
600300,2019-08-11
600300,2019-08-12
600300,2019-08-13
600300,2019-08-14
600300,2019-08-15
600300,2019-08-16
600300,2019-08-17
600300,2019-08-18
600300,2019-08-19
600300,2019-08-20
600300,2019-08-21
600300,2019-08-22
600300,2019-08-23
600300,2019-08-24
600300,2019-08-25
600300,2019-08-26
600300,2019-08-27
