semestre;valor
S1/2019;5628011
S2/2019;5665290
S1/2020;5702583
S2/2020;5702423
S1/2021;5702262
S2/2021;5701072
S1/2022;5699602
S2/2022;5748619
S1/2023;5797356
S2/2023;5852066
S1/2024;5884873
