Data,Sector_Economic,Valor,año
2019-01-01,Indústria,995989,2019
2019-01-01,Residencial,6713701,2019
2019-01-01,Serveis,7338057,2019
2019-01-02,Indústria,1702091,2019
2019-01-02,Residencial,7354663,2019
2019-01-02,Serveis,10409953,2019
2019-01-03,Indústria,1826076,2019
2019-01-03,Residencial,7619413,2019
2019-01-03,Serveis,10625634,2019
2019-01-04,Indústria,1806926,2019
2019-01-04,Residencial,7815514,2019
2019-01-04,Serveis,10570866,2019
2019-01-05,Indústria,1341548,2019
2019-01-05,Residencial,7527041,2019
2019-01-05,Serveis,8572617,2019
2019-01-06,Indústria,1201714,2019
2019-01-06,Residencial,7308657,2019
2019-01-06,Serveis,7328816,2019
2019-01-07,Indústria,1921881,2019
2019-01-07,Residencial,7966091,2019
2019-01-07,Serveis,10731168,2019
2019-01-08,Indústria,2048335,2019
2019-01-08,Residencial,8187408,2019
2019-01-08,Serveis,11203465,2019
2019-01-09,Indústria,2074642,2019
2019-01-09,Residencial,8007237,2019
2019-01-09,Serveis,11060810,2019
2019-01-10,Indústria,2104779,2019
2019-01-10,Residencial,8215942,2019
2019-01-10,Serveis,11243417,2019
2019-01-11,Indústria,2105565,2019
2019-01-11,Residencial,8586652,2019
2019-01-11,Serveis,11377346,2019
2019-01-12,Indústria,1524829,2019
2019-01-12,Residencial,8341448,2019
2019-01-12,Serveis,8953791,2019
2019-01-13,Indústria,1309722,2019
2019-01-13,Residencial,8240301,2019
2019-01-13,Serveis,7970923,2019
2019-01-14,Indústria,1990879,2019
2019-01-14,Residencial,8090100,2019
2019-01-14,Serveis,11137083,2019
2019-01-15,Indústria,2001561,2019
2019-01-15,Residencial,7930353,2019
2019-01-15,Serveis,11146268,2019
2019-01-16,Indústria,2082018,2019
2019-01-16,Residencial,7917608,2019
2019-01-16,Serveis,11074194,2019
2019-01-17,Indústria,2085319,2019
2019-01-17,Residencial,7754578,2019
2019-01-17,Serveis,11074481,2019
2019-01-18,Indústria,2076651,2019
2019-01-18,Residencial,8186573,2019
2019-01-18,Serveis,11156579,2019
2019-01-19,Indústria,1531857,2019
2019-01-19,Residencial,7869976,2019
2019-01-19,Serveis,8787131,2019
2019-01-20,Indústria,1330111,2019
2019-01-20,Residencial,8398553,2019
2019-01-20,Serveis,7728752,2019
2019-01-21,Indústria,2062403,2019
2019-01-21,Residencial,8396547,2019
2019-01-21,Serveis,11278465,2019
2019-01-22,Indústria,2161827,2019
2019-01-22,Residencial,8740506,2019
2019-01-22,Serveis,11614650,2019
2019-01-23,Indústria,2109277,2019
2019-01-23,Residencial,8709077,2019
2019-01-23,Serveis,11507718,2019
2019-01-24,Indústria,2111501,2019
2019-01-24,Residencial,8659613,2019
2019-01-24,Serveis,11498215,2019
2019-01-25,Indústria,2059243,2019
2019-01-25,Residencial,8375922,2019
2019-01-25,Serveis,11183847,2019
2019-01-26,Indústria,1429824,2019
2019-01-26,Residencial,7746558,2019
2019-01-26,Serveis,8726684,2019
2019-01-27,Indústria,1258248,2019
2019-01-27,Residencial,7704373,2019
2019-01-27,Serveis,7622444,2019
2019-01-28,Indústria,1983174,2019
2019-01-28,Residencial,8290133,2019
2019-01-28,Serveis,11220202,2019
2019-01-29,Indústria,2077924,2019
2019-01-29,Residencial,8577586,2019
2019-01-29,Serveis,11386935,2019
2019-01-30,Indústria,2086124,2019
2019-01-30,Residencial,8365088,2019
2019-01-30,Serveis,11328427,2019
2019-01-31,Indústria,2009211,2019
2019-01-31,Residencial,7629397,2019
2019-01-31,Serveis,11040544,2019
2019-02-01,Indústria,1932146,2019
2019-02-01,Residencial,7399333,2019
2019-02-01,Serveis,10724612,2019
2019-02-02,Indústria,1470254,2019
2019-02-02,Residencial,7526483,2019
2019-02-02,Serveis,8719536,2019
2019-02-03,Indústria,1358251,2019
2019-02-03,Residencial,7731556,2019
2019-02-03,Serveis,7664497,2019
2019-02-04,Indústria,2105011,2019
2019-02-04,Residencial,8217313,2019
2019-02-04,Serveis,11234233,2019
2019-02-05,Indústria,2108257,2019
2019-02-05,Residencial,7769511,2019
2019-02-05,Serveis,11077232,2019
2019-02-06,Indústria,2091470,2019
2019-02-06,Residencial,7444718,2019
2019-02-06,Serveis,10906903,2019
2019-02-07,Indústria,2061069,2019
2019-02-07,Residencial,7398441,2019
2019-02-07,Serveis,10911568,2019
2019-02-08,Indústria,2035308,2019
2019-02-08,Residencial,7195752,2019
2019-02-08,Serveis,10722944,2019
2019-02-09,Indústria,1523376,2019
2019-02-09,Residencial,6778040,2019
2019-02-09,Serveis,8507771,2019
2019-02-10,Indústria,1391507,2019
