fecha,indicativo,tmed,prec,velmedia
2019-01-01,0106X,"5,5","0,0","0,6"
2019-01-02,0106X,"2,4","0,0","0,8"
2019-01-03,0106X,"2,0","0,0","1,1"
2019-01-04,0106X,"2,2","0,0","1,1"
2019-01-05,0106X,"1,8","0,0","1,7"
2019-01-06,0106X,"4,0","0,0","1,7"
2019-01-07,0106X,"3,8","0,0","1,4"
2019-01-08,0106X,"0,8","0,0","1,1"
2019-01-09,0106X,"4,3","0,0","1,7"
2019-01-10,0106X,"4,2","0,0","3,3"
2019-01-11,0106X,"-0,2","0,0","1,1"
2019-01-12,0106X,"1,2","0,0","0,8"
2019-01-13,0106X,"2,3","0,0","1,4"
2019-01-14,0106X,"4,2","0,0","1,7"
2019-01-15,0106X,"4,4","0,0","1,1"
2019-01-16,0106X,"3,0","0,0","1,1"
2019-01-17,0106X,"6,7","0,0","1,1"
2019-01-18,0106X,"2,2","0,0","0,8"
2019-01-19,0106X,"2,6","3,8","1,1"
2019-01-20,0106X,"4,2","1,0","1,4"
2019-01-21,0106X,"3,3","0,0","1,7"
2019-01-22,0106X,"-0,2","0,0","1,7"
2019-01-23,0106X,"2,1","1,2","1,4"
2019-01-24,0106X,"3,4","0,0","3,6"
2019-01-25,0106X,"4,0","0,0","1,7"
2019-01-26,0106X,"5,8","0,0","1,4"
2019-01-27,0106X,"6,3","0,2","2,2"
2019-01-28,0106X,"3,0","0,2","1,9"
2019-01-29,0106X,"1,0","0,0","1,1"
2019-01-30,0106X,"4,7","0,0","2,2"
2019-01-31,0106X,"5,6","0,2","2,2"
2019-02-01,0106X,"9,1","1,0","2,8"
2019-02-02,0106X,"4,9","0,0","2,8"
2019-02-03,0106X,"2,0","0,0","3,3"
2019-02-04,0106X,"2,2","0,0","1,4"
2019-02-05,0106X,"6,4","0,0","1,1"
2019-02-06,0106X,"7,7","0,0","1,1"
2019-02-07,0106X,"7,0","0,0","1,4"
2019-02-08,0106X,"8,0","0,0","1,1"
2019-02-09,0106X,"7,6","0,0","0,8"
2019-02-10,0106X,"7,4","0,0","1,4"
2019-02-11,0106X,"6,8","0,0","1,7"
2019-02-12,0106X,"6,2","0,0","0,8"
2019-02-13,0106X,"6,0","0,0","2,5"
2019-02-14,0106X,"6,3","0,0","2,2"
2019-02-15,0106X,"6,1","0,0","1,1"
2019-02-16,0106X,"7,4","0,0","1,1"
2019-02-17,0106X,"6,3","0,0","3,1"
2019-02-18,0106X,"7,4","0,0","1,9"
2019-02-19,0106X,"9,4","0,0","1,9"
2019-02-20,0106X,"6,9","0,0","1,1"
2019-02-21,0106X,"7,8","0,0","1,4"
2019-02-22,0106X,"9,6","0,0","1,4"
2019-02-23,0106X,"10,2","0,0","1,7"
2019-02-24,0106X,"8,7","0,0","2,2"
2019-02-25,0106X,"8,6","0,0","1,9"
2019-02-26,0106X,"10,7","0,0","1,7"
2019-02-27,0106X,"11,2","0,0","1,4"
2019-02-28,0106X,"9,8","0,0","1,9"
2019-03-01,0106X,"8,8","0,0","1,4"
2019-03-02,0106X,"10,4","0,0","1,4"
2019-03-03,0106X,"10,6","0,0","1,9"
2019-03-04,0106X,"10,2","0,0","3,3"
2019-03-05,0106X,"10,6","0,0","2,8"
2019-03-06,0106X,"7,4","5,4","2,5"
2019-03-07,0106X,"8,2","0,0","1,7"
2019-03-08,0106X,"7,9","0,0","1,1"
2019-03-09,0106X,"9,8","0,0","1,7"
2019-03-10,0106X,"11,9","0,0","2,5"
2019-03-11,0106X,"11,6","0,0","1,9"
2019-03-12,0106X,"11,2","0,0","2,5"
2019-03-13,0106X,"10,8","0,0","2,2"
2019-03-14,0106X,"7,8","0,0","1,9"
2019-03-15,0106X,"11,6","0,0","1,9"
2019-03-16,0106X,"12,7","0,0","1,1"
2019-03-17,0106X,"12,2","0,0","3,3"
2019-03-18,0106X,"9,8","0,0","1,9"
2019-03-19,0106X,"8,2","0,0","2,5"
2019-03-20,0106X,"7,2","0,0","3,1"
2019-03-21,0106X,"7,8","0,0","2,2"
2019-03-22,0106X,"10,4","0,0","1,9"
2019-03-23,0106X,"11,8","0,0","2,2"
2019-03-24,0106X,"12,5","0,0","2,2"
2019-03-25,0106X,"11,2","0,0","2,5"
2019-03-26,0106X,"10,4","0,0","3,1"
2019-03-27,0106X,"8,6","0,0","2,2"
2019-03-28,0106X,"8,9","0,0","2,8"
2019-03-29,0106X,"9,4","0,0","2,8"
2019-03-30,0106X,"7,8","0,0","2,2"
2019-03-31,0106X,"9,1","0,0","2,2"
2019-04-01,0106X,"13,0","0,0","2,5"
2019-04-02,0106X,"12,1","0,0","3,1"
2019-04-03,0106X,"9,4","0,4","2,5"
2019-04-04,0106X,"7,0","0,0","2,2"
2019-04-05,0106X,"5,6","19,8","2,5"
2019-04-06,0106X,"9,3","0,4","3,1"
2019-04-07,0106X,"8,1","0,0","1,9"
2019-04-08,0106X,"10,4","0,0","1,9"
2019-04-09,0106X,"10,2","1,2","1,7"
2019-04-10,0106X,"8,6","0,2","2,5"
2019-04-11,0106X,"10,2","0,0","2,8"
2019-04-12,0106X,"13,0","0,0","2,5"
2019-04-13,0106X,"12,5","0,0","2,8"
2019-04-14,0106X,"11,4","0,0","3,1"
2019-04-15,0106X,"10,4","0,4","2,8"
2019-04-16,0106X,"11,0","0,0","2,5"
2019-04-17,0106X,"12,0","0,0","2,8"
2019-04-18,0106X,"13,2","0,0","4,2"
2019-04-19,0106X,"16,1","0,0","5,6"
2019-04-20,0106X,"13,6","8,8","4,2"
2019-04-21,0106X,"13,0","0,0","5,0"
2019-04-22,0106X,"13,6","1,2","4,4"
2019-04-23,0106X,"15,2","1,0","2,8"
2019-04-24,0106X,"12,9","1,2","4,4"
2019-04-25,0106X,"10,2","11,8","1,9"
2019-04-26,0106X,"10,8","0,0","3,3"
2019-04-27,0106X,"12,4","0,0","2,5"
2019-04-28,0106X,"12,4","0,0","2,8"
2019-04-29,0106X,"15,0","0,0","3,1"
2019-04-30,0106X,"16,3","0,0","2,8"
2019-05-01,0106X,"16,0","0,0","3,1"
2019-05-02,0106X,"16,0","3,2","2,8"
2019-05-03,0106X,"9,3","15,0","1,4"
2019-05-04,0106X,"12,6","0,0","1,4"
2019-05-05,0106X,"11,0","0,0","2,5"
2019-05-06,0106X,"10,6","0,0","3,1"
2019-05-07,0106X,"12,2","0,0","3,3"
2019-05-08,0106X,"18,1","0,0","4,2"
2019-05-09,0106X,"15,0","0,0","4,2"
2019-05-10,0106X,"18,6","1,2","2,2"
2019-05-11,0106X,"16,8","0,2","3,3"
2019-05-12,0106X,"15,5","0,0","3,1"
2019-05-13,0106X,"14,0","0,0","2,8"
2019-05-14,0106X,"14,4","0,0","3,1"
2019-05-15,0106X,"14,6","0,0","3,6"
2019-05-16,0106X,"13,1","5,4","3,9"
2019-05-17,0106X,"11,5","4,1","1,4"
2019-05-18,0106X,"13,2","0,4","2,5"
2019-05-19,0106X,"12,0","7,0","1,7"
2019-05-20,0106X,"14,5","0,0","2,2"
2019-05-21,0106X,"15,4","0,0","2,8"
2019-05-22,0106X,"16,6","0,0","2,5"
2019-05-23,0106X,"17,2","0,8","2,8"
2019-05-24,0106X,"14,4","13,6","1,1"
2019-05-25,0106X,"17,0","0,0","1,4"
2019-05-26,0106X,"15,7","0,0","3,1"
2019-05-27,0106X,"15,4","0,0","1,7"
2019-05-28,0106X,"17,6","0,0","2,2"
2019-05-29,0106X,"17,4","0,0","3,1"
2019-05-30,0106X,"16,4","0,0","2,8"
2019-05-31,0106X,"17,8","0,0","3,3"
2019-06-01,0106X,"19,8","0,0","2,8"
2019-06-02,0106X,"19,0","0,0","3,3"
2019-06-03,0106X,"19,2","0,0","3,6"
2019-06-04,0106X,"18,8","0,0","3,3"
2019-06-05,0106X,"16,2","0,0","1,9"
2019-06-06,0106X,"14,6","0,0","4,2"
2019-06-07,0106X,"17,7","0,0","2,8"
2019-06-08,0106X,"16,8","0,0","2,8"
2019-06-09,0106X,"20,2","0,0","2,5"
2019-06-10,0106X,"18,8","0,8","3,3"
2019-06-11,0106X,"14,2","8,0","1,7"
2019-06-12,0106X,"15,7","0,0","3,3"
2019-06-13,0106X,"16,2","0,0","2,8"
2019-06-14,0106X,"19,8","0,0","4,4"
